rank,artist,track,am_last_week,am_peak,am_woc,date
1,Mariah Carey,All I Want For Christmas Is You,2,1,35,12/18/2023
2,Nicki Minaj,FTCU,3,2,3,12/18/2023
3,Jack Harlow,Lovin On Me,4,1,7,12/18/2023
4,Bobby Helms,Jingle Bell Rock (Single Version),6,4,25,12/18/2023
5,Nicki Minaj,Everybody (feat. Lil Uzi Vert),1,1,3,12/18/2023
6,Brenda Lee,Rockin' Around the Christmas Tree (Single Version),10,6,18,12/18/2023
7,Kelly Clarkson,Underneath the Tree,12,6,21,12/18/2023
8,Michael Bublé,It's Beginning To Look a Lot Like Christmas,13,6,26,12/18/2023
9,Ariana Grande,Santa Tell Me,17,8,21,12/18/2023
10,SZA,Snooze,7,3,55,12/18/2023
11,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),8,2,12,12/18/2023
12,Andy Williams,It's the Most Wonderful Time of the Year,22,10,21,12/18/2023
13,ディーン・マーティン,レット・イット・スノウ,30,13,13,12/18/2023
14,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),18,1,18,12/18/2023
15,Burl Ives,A Holly Jolly Christmas,28,15,13,12/18/2023
16,Lil Baby,Freestyle,19,6,75,12/18/2023
17,Morgan Wallen,Last Night,23,1,47,12/18/2023
18,The Ronettes,Sleigh Ride,37,18,14,12/18/2023
19,Chuck Berry,Run Rudolph Run,38,19,12,12/18/2023
20,Darlene Love,Christmas (Baby Please Come Home),43,20,14,12/18/2023
21,Drake,IDGAF (feat. Yeat),16,1,12,12/18/2023
22,Drake,First Person Shooter (feat. J. Cole),24,2,12,12/18/2023
23,Nicki Minaj,Needle (feat. Drake),5,5,3,12/18/2023
24,ジャスティン・ビーバー,君とホワイト・キス,44,18,21,12/18/2023
25,José Feliciano,Feliz Navidad,49,25,14,12/18/2023
26,Rod Wave,Great Gatsby,26,1,15,12/18/2023
27,Doja Cat,Agora Hills,27,13,13,12/18/2023
28,Drake,You Broke My Heart,31,1,6,12/18/2023
29,Wham!,Last Christmas (Single Version),54,17,10,12/18/2023
30,Lil Baby,Crazy,79,30,2,12/18/2023
31,Drake,Virginia Beach,29,3,12,12/18/2023
32,Drake,Best I Ever Had,35,13,38,12/18/2023
33,Morgan Wallen,Thinkin’ Bout Me,34,2,43,12/18/2023
34,The Beach Boys,Little Saint Nick,63,34,8,12/18/2023
35,Tate McRae,greedy,25,25,14,12/18/2023
36,Peso Pluma & Anitta,BELLAKEO,88,34,2,12/18/2023
37,Nicki Minaj,Let Me Calm Down (feat. J. Cole),9,9,3,12/18/2023
38,Noah Kahan,Stick Season,51,11,8,12/18/2023
39,Gunna,fukumean,42,1,28,12/18/2023
40,Nicki Minaj,Fallin 4 U,15,15,3,12/18/2023
41,Jonas Brothers,Like It's Christmas,83,26,7,12/18/2023
42,Lil Baby,Sum 2 Prove,41,4,120,12/18/2023
43,Nicki Minaj,Barbie Dangerous,11,11,3,12/18/2023
44,Eartha Kitt,Santa Baby,84,44,7,12/18/2023
45,Wham!,Last Christmas (Remastered),82,13,17,12/18/2023
46,Future,WAIT FOR U (feat. Drake & Tems),48,1,87,12/18/2023
47,Drake,Slime You Out (feat. SZA),39,1,15,12/18/2023
48,Taylor Swift,Cruel Summer,45,7,36,12/18/2023
49,Lil Baby,Low Down,46,6,67,12/18/2023
50,"Nat ""King"" Cole",Deck the Hall,93,47,7,12/18/2023
51,Paul McCartney,Wonderful Christmastime (Edited Version),94,51,5,12/18/2023
52,Future,Low Life (feat. The Weeknd),53,25,20,12/18/2023
53,Nicki Minaj,Beep Beep,21,21,3,12/18/2023
54,Bing Crosby,White Christmas (feat. Ken Darby Singers & John Scott Trotter and His Orchestra),86,54,9,12/18/2023
55,Elton John,Step Into Christmas,97,55,4,12/18/2023
56,Luke Combs,Fast Car,62,5,40,12/18/2023
57,SZA,Kill Bill,55,1,55,12/18/2023
58,Doja Cat,Paint The Town Red,58,2,21,12/18/2023
59,Future,Mask Off,61,30,47,12/18/2023
60,Bad Bunny,MONACO,59,5,11,12/18/2023
61,Rod Wave,Turks & Caicos,56,3,15,12/18/2023
62,Future,Stick Talk,67,32,16,12/18/2023
63,Xavi,La Diabla,-,8,1,12/18/2023
64,Morgan Wallen,Chasin' You,68,20,95,12/18/2023
65,"Calle 24, Chino Pacas & Fuerza Regida",Que Onda,64,36,16,12/18/2023
66,Nicki Minaj,Pink Friday Girls,33,33,3,12/18/2023
67,Nicki Minaj,Are You Gone Already,14,14,3,12/18/2023
68,Nicki Minaj,Big Difference,20,20,3,12/18/2023
69,Lil Baby,Woah,65,1,60,12/18/2023
70,Donny Hathaway,This Christmas,-,57,5,12/18/2023
71,Lil Baby,350,92,71,2,12/18/2023
72,Fuerza Regida & Marshmello,HARLEY QUINN,60,14,8,12/18/2023
73,Eagles,Please Come Home for Christmas,95,49,5,12/18/2023
74,Olivia Rodrigo,vampire,70,2,26,12/18/2023
75,Frank Sinatra,Santa Claus Is Comin' to Town,99,48,6,12/18/2023
76,Nicki Minaj,Red Ruby Da Sleeze,40,21,11,12/18/2023
77,Tate McRae,exes,50,50,4,12/18/2023
78,SZA,Good Days,73,1,65,12/18/2023
