quarter,month,week,track,artist,label,hot100_rank,hot100_last_week,hot100_peak,hot100_woc,hot100_change,hot100_growth_rate,hot100_acceleration,radio_rank,radio_last_week,radio_peak,radio_woc,radio_change,radio_growth_rate,radio_acceleration,streaming_rank,streaming_last_week,streaming_peak,streaming_woc,streaming_change,streaming_growth_rate,streaming_acceleration,sales_rank,sales_last_week,sales_peak,sales_woc,sales_change,sales_growth_rate,sales_acceleration,apple_rank,apple_last_week,apple_peak,apple_woc,apple_change,apple_growth_rate,apple_acceleration,spotify_rank,spotify_last_week,spotify_peak,spotify_woc,spotify_change,spotify_growth_rate,spotify_acceleration,spotify_streams,is_collab,is_top_artist,is_top_label,is_holiday_season,is_summer_season,is_award_season,available_platforms,best_platform,platform_change_momentum,platform_acceleration_momentum,platform_divergence,spotify_vs_apple,streaming_vs_radio,streaming_vs_sales,radio_vs_sales,spotify_leads_apple,streaming_leads_radio,streaming_leads_sales,radio_leads_sales
1,1,1,Rockin' Around The Christmas Tree,Brenda Lee,MCA Nashville,1,2,1,58,0.01,0.5,0.0,22,24,17,40,0.04,0.08,0.0,1,1,1,50,0.0,0.0,0.0,6,8,4,51,0.08,0.25,0.0,6,10,6,18,0.04,0.4,0.0,1,1,1,52,0.0,0.0,0.0,20369116,0,1,1,1,0,0,6,hot100,4.25,0.0,0.18,0.06,0.42,0.22,-0.2,-1.0,-1.0,0.0,0.0
1,1,1,All I Want For Christmas Is You,Mariah Carey,Columbia,2,1,1,65,-0.01,-1.0,0.0,18,17,11,60,-0.02,-0.06,0.0,2,2,1,62,0.0,0.0,0.0,3,4,1,108,0.04,0.25,0.0,1,2,1,35,0.01,0.5,0.0,3,3,1,60,0.0,0.0,0.0,15547474,0,1,1,1,0,0,6,apple,0.5,0.0,0.14,-0.0,0.32,0.08,-0.24,0.0,0.0,0.0,-0.79
1,1,1,Jingle Bell Rock,Bobby Helms,Universal Digital Enterprises,3,3,3,56,0.0,0.0,0.0,26,27,23,34,0.02,0.04,0.0,3,3,2,43,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,4,6,4,25,0.02,0.33,0.0,2,2,2,52,0.0,0.0,0.0,16631455,0,1,1,1,0,0,5,spotify,2.0,0.0,0.2,0.03,0.46,0.0,0.0,-1.0,0.01,0.0,0.0
1,1,1,Last Christmas,Wham!,Epic,4,4,4,38,0.0,0.0,0.0,33,31,31,27,-0.04,-0.06,0.0,4,4,3,41,0.0,0.0,0.0,7,5,5,29,-0.08,-0.4,0.0,29,54,17,10,0.25,0.46,0.0,0,0,0,0,0.0,0.0,0.0,0,0,1,1,1,0,0,5,hot100,4.33,0.0,0.25,0.0,0.58,0.2,-0.38,0.0,-0.96,-1.0,-0.5
1,1,1,A Holly Jolly Christmas,Burl Ives,Geffen,5,5,4,39,0.0,0.0,0.0,30,29,21,34,-0.02,-0.03,0.0,5,5,3,39,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,15,28,15,13,0.13,0.46,0.0,7,8,5,43,0.0,0.12,0.0,11123005,0,0,0,1,0,0,5,hot100,3.83,0.0,0.22,0.12,0.5,0.0,0.0,1.0,0.68,0.0,0.0
1,1,1,It's The Most Wonderful Time Of The Year,Andy Williams,Columbia/Legacy,6,7,5,39,0.01,0.14,0.0,38,30,27,28,-0.16,-0.27,0.0,6,6,3,40,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,12,22,10,21,0.1,0.45,0.0,5,5,4,48,0.0,0.0,0.0,12941880,1,1,1,1,0,0,5,spotify,-1.67,0.0,0.29,0.1,0.64,0.0,0.0,-1.0,-0.14,0.0,0.0
1,1,1,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,Capitol Records,7,8,7,31,0.01,0.12,0.0,45,41,35,13,-0.08,-0.1,0.0,7,8,5,35,0.02,0.12,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,6,7,6,36,0.0,0.14,0.0,11840721,0,0,1,1,0,0,4,spotify,-1.12,0.0,0.35,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Feliz Navidad,Jose Feliciano,RCA Records Label,8,9,6,32,0.01,0.11,0.0,25,25,16,32,0.0,0.0,0.0,11,14,7,30,0.06,0.21,0.0,0,0,0,0,0.0,0.0,0.0,25,49,25,14,0.24,0.49,0.0,9,13,8,38,0.02,0.31,0.0,10379114,0,0,1,1,0,0,5,hot100,8.25,0.0,0.18,0.2,0.28,0.0,0.0,0.0,-1.0,0.0,0.0
1,1,1,Lovin On Me,Jack Harlow,Generation Now/Atlantic,9,6,1,7,-0.03,-0.5,0.0,5,5,5,6,0.0,0.0,0.0,19,13,1,7,-0.12,-0.46,0.0,2,3,1,7,0.04,0.33,0.0,3,4,1,7,0.01,0.25,0.0,15,6,1,7,-0.04,-1.5,0.0,9222711,0,0,0,1,0,0,6,sales,-2.9,0.0,0.13,-0.04,-0.28,-0.3,-0.02,-0.08,0.98,-0.28,0.0
1,1,1,Sleigh Ride,The Ronettes,Legacy Recordings,10,10,8,28,0.0,0.0,0.0,43,42,39,11,-0.02,-0.02,0.0,9,10,8,32,0.02,0.1,0.0,0,0,0,0,0.0,0.0,0.0,18,37,18,14,0.19,0.51,0.0,10,12,10,34,0.01,0.17,0.0,10302554,0,0,1,1,0,0,5,streaming,5.0,0.0,0.32,0.13,0.68,0.0,0.0,0.69,0.0,0.0,0.0
1,1,1,Santa Tell Me,Ariana Grande,Universal Records,11,12,11,24,0.01,0.08,0.0,0,0,0,0,0.0,0.0,0.0,8,7,7,26,-0.02,-0.14,0.0,0,0,0,0,0.0,0.0,0.0,9,17,8,21,0.08,0.47,0.0,8,9,5,47,0.0,0.11,0.0,10593763,1,0,0,1,0,0,4,streaming,1.88,0.0,0.06,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,1,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",Capitol Records,12,11,9,44,-0.01,-0.09,0.0,37,39,30,31,0.04,0.05,0.0,12,11,5,39,-0.02,-0.09,0.0,18,18,18,22,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,13,14,11,41,0.0,0.07,0.0,9602638,0,0,1,1,0,0,5,hot100,0.38,0.0,0.33,0.0,0.5,0.48,-0.02,0.0,-1.0,0.0,0.0
1,1,1,Underneath The Tree,Kelly Clarkson,RCA Records Label,13,13,11,27,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,10,9,8,26,-0.02,-0.11,0.0,16,16,16,21,0.0,0.0,0.0,7,12,6,21,0.05,0.42,0.0,12,11,8,36,-0.0,-0.09,0.0,9670483,0,0,1,1,0,0,5,apple,0.83,0.0,0.23,0.01,0.0,0.44,0.0,1.0,0.0,0.0,0.0
1,1,1,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,Unknown,14,15,12,35,0.01,0.07,0.0,0,0,0,0,0.0,0.0,0.0,13,15,10,24,0.04,0.13,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,2,streaming,2.5,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Christmas (Baby Please Come Home),Darlene Love,Legacy Recordings,15,17,15,22,0.02,0.12,0.0,0,0,0,0,0.0,0.0,0.0,14,17,8,25,0.06,0.18,0.0,0,0,0,0,0.0,0.0,0.0,20,43,20,14,0.23,0.53,0.0,21,29,19,26,0.04,0.28,0.0,7714208,0,0,1,1,0,0,4,streaming,8.75,0.0,0.11,0.1,0.0,0.0,0.0,0.91,0.0,0.0,0.0
1,1,1,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,Unknown,16,16,16,14,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,15,16,15,15,0.02,0.06,0.0,0,0,0,0,0.0,0.0,0.0,88,0,70,1,0.13,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,3,streaming,7.5,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Deck The Halls,Nat King Cole,CAPITOL CATALOG MKT (C92),17,23,16,13,0.06,0.26,0.0,0,0,0,0,0.0,0.0,0.0,16,18,13,20,0.04,0.11,0.0,0,0,0,0,0.0,0.0,0.0,50,93,47,7,0.43,0.46,0.0,25,33,23,13,0.04,0.24,0.0,7049981,0,0,0,1,0,0,4,streaming,14.25,0.0,0.19,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
