date,rank,track,artist,bb_last_week,bb_peak,bb_woc
1/6/2024,1,Rockin' Around The Christmas Tree,Brenda Lee,2,1,58
1/6/2024,2,All I Want For Christmas Is You,Mariah Carey,1,1,65
1/6/2024,3,Jingle Bell Rock,Bobby Helms,3,3,56
1/6/2024,4,Last Christmas,Wham!,4,4,38
1/6/2024,5,A Holly Jolly Christmas,Burl Ives,5,4,39
1/6/2024,6,It's The Most Wonderful Time Of The Year,Andy Williams,7,5,39
1/6/2024,7,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,8,7,31
1/6/2024,8,Feliz Navidad,Jose Feliciano,9,6,32
1/6/2024,9,Lovin On Me,Jack Harlow,6,1,7
1/6/2024,10,Sleigh Ride,The Ronettes,10,8,28
1/6/2024,11,Santa Tell Me,Ariana Grande,12,11,24
1/6/2024,12,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",11,9,44
1/6/2024,13,Underneath The Tree,Kelly Clarkson,13,11,27
1/6/2024,14,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,15,12,35
1/6/2024,15,Christmas (Baby Please Come Home),Darlene Love,17,15,22
1/6/2024,16,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,16,16,14
1/6/2024,17,Deck The Halls,Nat King Cole,23,16,13
1/6/2024,18,Blue Christmas,Elvis Presley,25,18,13
1/6/2024,19,Cruel Summer,Taylor Swift,18,1,34
1/6/2024,20,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,30,20,9
1/6/2024,21,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,22,21,20
1/6/2024,22,Run Rudolph Run,Chuck Berry,27,10,22
1/6/2024,23,It's Beginning To Look A Lot Like Christmas,Michael Buble,24,19,20
1/6/2024,24,Greedy,Tate McRae,19,7,15
1/6/2024,25,Little Saint Nick,The Beach Boys,31,25,8
1/6/2024,26,Wonderful Christmastime,Paul McCartney,36,26,13
1/6/2024,27,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,14,12,23
1/6/2024,28,Please Come Home For Christmas,Eagles,32,18,15
1/6/2024,29,Paint The Town Red,Doja Cat,21,1,21
1/6/2024,30,Santa Claus Is Comin' To Town,Jackson 5,35,30,11
1/6/2024,31,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,28,1,18
1/6/2024,32,Water,Tyla,26,10,13
1/6/2024,33,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,34,31,12
1/6/2024,34,This Christmas,Donny Hathaway,45,34,5
1/6/2024,35,Agora Hills,Doja Cat,29,14,14
1/6/2024,36,Last Night,Morgan Wallen,33,1,48
1/6/2024,37,Mistletoe,Justin Bieber,-,11,13
1/6/2024,38,Happy Holiday / The Holiday Season,Andy Williams,44,18,19
1/6/2024,39,Christmastime Is Here,Vince Guaraldi Trio,-,39,4
1/6/2024,40,Like It's Christmas,Jonas Brothers,43,40,7
1/6/2024,41,Have Yourself A Merry Little Christmas,Michael Buble,-,41,4
1/6/2024,42,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,48,38,6
1/6/2024,43,I Saw Mommy Kissing Santa Claus,Jackson 5,-,43,1
1/6/2024,44,Thinkin' Bout Me,Morgan Wallen,37,7,43
1/6/2024,45,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,38,16,27
1/6/2024,46,Merry Christmas,Ed Sheeran & Elton John,-,42,7
1/6/2024,47,Fast Car,Luke Combs,46,2,40
1/6/2024,48,Lose Control,Teddy Swims,41,39,20
1/6/2024,49,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,40,1,9
1/6/2024,50,(There's No Place Like) Home For The Holidays (1954),Perry Como With Mitchell Ayers And His Orchestra,-,50,1
1/6/2024,51,Lil Boo Thang,Paul Russell,47,23,15
1/6/2024,52,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,50,11,12
1/6/2024,53,FTCU,Nicki Minaj,42,42,3
1/6/2024,54,Stick Season,Noah Kahan,53,31,13
1/6/2024,55,Everybody,Nicki Minaj Featuring Lil Uzi Vert,39,26,3
1/6/2024,56,White Horse,Chris Stapleton,52,12,23
1/6/2024,57,First Person Shooter,Drake Featuring J. Cole,51,1,12
1/6/2024,58,Used To Be Young,Miley Cyrus,54,8,18
1/6/2024,59,Houdini,Dua Lipa,57,11,7
1/6/2024,60,Good Good,"Usher, Summer Walker & 21 Savage",56,25,20
1/6/2024,61,World On Fire,Nate Smith,55,47,9
