date,rank,track,artist,radio_last_week,radio_peak,radio_woc
1/6/2024,1,Cruel Summer,Taylor Swift,1,1,28
1/6/2024,2,Paint The Town Red,Doja Cat,2,1,21
1/6/2024,3,Greedy,Tate McRae,3,3,12
1/6/2024,4,Water,Tyla,4,4,10
1/6/2024,5,Lovin On Me,Jack Harlow,5,5,6
1/6/2024,6,Used To Be Young,Miley Cyrus,6,3,18
1/6/2024,7,Lil Boo Thang,Paul Russell,8,6,14
1/6/2024,8,Good Good,"Usher, Summer Walker & 21 Savage",9,8,19
1/6/2024,9,Agora Hills,Doja Cat,10,9,7
1/6/2024,10,Fast Car,Luke Combs,12,1,33
1/6/2024,11,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,14,11,8
1/6/2024,12,Houdini,Dua Lipa,15,12,7
1/6/2024,13,World On Fire,Nate Smith,13,13,10
1/6/2024,14,On My Mama,Victoria Monet,16,13,12
1/6/2024,15,Mind On You,George Birge,19,15,13
1/6/2024,16,Thinkin' Bout Me,Morgan Wallen,18,11,17
1/6/2024,17,Get Him Back!,Olivia Rodrigo,21,17,10
1/6/2024,18,All I Want For Christmas Is You,Mariah Carey,17,11,60
1/6/2024,19,Save Me The Trouble,Dan + Shay,20,19,15
1/6/2024,20,Last Night,Morgan Wallen,22,2,42
1/6/2024,21,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,26,21,10
1/6/2024,22,Rockin' Around The Christmas Tree,Brenda Lee,24,17,40
1/6/2024,23,White Horse,Chris Stapleton,23,23,10
1/6/2024,24,Lose Control,Teddy Swims,32,24,3
1/6/2024,25,Feliz Navidad,Jose Feliciano,25,16,32
1/6/2024,26,Jingle Bell Rock,Bobby Helms,27,23,34
1/6/2024,27,Different 'Round Here,Riley Green Featuring Luke Combs,28,27,9
1/6/2024,28,Strangers,Kenya Grace,37,28,3
1/6/2024,29,Where The Wild Things Are,Luke Combs,33,29,4
1/6/2024,30,A Holly Jolly Christmas,Burl Ives,29,21,34
1/6/2024,31,All I Need Is You,Chris Janson,34,31,12
1/6/2024,32,First Person Shooter,Drake Featuring J. Cole,43,32,2
1/6/2024,33,Last Christmas,Wham!,31,31,27
1/6/2024,34,Pretty Little Poison,Warren Zeiders,36,34,4
1/6/2024,35,I Can Feel It,Kane Brown,38,35,5
1/6/2024,36,Can't Have Mine,Dylan Scott,35,14,17
1/6/2024,37,The Christmas Song,"Nat ""King"" Cole",39,30,31
1/6/2024,38,It's The Most Wonderful Time Of The Year,Andy Williams,30,27,28
