date,rank,track,artist,sales_last_week,sales_peak,sales_woc
1/6/2024,1,Closer Than This,Jimin,-,1,1
1/6/2024,2,Lovin On Me,Jack Harlow,3,1,7
1/6/2024,3,All I Want For Christmas Is You,Mariah Carey,4,1,108
1/6/2024,4,Lose Control,Teddy Swims,2,2,24
1/6/2024,5,Standing Next To You,Jung Kook,1,1,8
1/6/2024,6,Rockin' Around The Christmas Tree,Brenda Lee,8,4,51
1/6/2024,7,Last Christmas,Wham!,5,5,29
1/6/2024,8,Lil Boo Thang,Paul Russell,12,2,19
1/6/2024,9,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,14,4,18
1/6/2024,10,DJ Play A Christmas Song,Cher,7,5,6
1/6/2024,11,Save Me,Jelly Roll With Lainey Wilson,15,6,33
1/6/2024,12,White Horse,Chris Stapleton,17,5,22
1/6/2024,13,Cruel Summer,Taylor Swift,-,1,26
1/6/2024,14,Christmas Eve (Sarajevo 12/24),Trans-Siberian Orchestra,13,12,43
1/6/2024,15,Snowman,Sia,19,15,6
1/6/2024,16,Underneath The Tree,Kelly Clarkson,16,16,21
1/6/2024,17,To Be A Man,Dax & Darius Rucker,24,3,5
1/6/2024,18,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",18,18,22
1/6/2024,19,Merry Christmas,Ed Sheeran & Elton John,-,4,8
1/6/2024,20,Fancy Like Christmas,Walker Hayes,20,20,3
1/6/2024,21,Wrap Me Up,Jimmy Fallon + Meghan Trainor,10,5,6
1/6/2024,22,Need A Favor,Jelly Roll,23,2,42
1/6/2024,23,What Was I Made For?,Billie Eilish,11,8,15
1/6/2024,24,Paint The Town Red,Doja Cat,-,1,19
1/6/2024,25,Water,Tyla,21,14,9
1/13/2024,1,Lovin On Me,Jack Harlow,2,1,8
1/13/2024,2,Lose Control,Teddy Swims,4,2,25
1/13/2024,3,Standing Next To You,Jung Kook,5,1,9
1/13/2024,4,Lil Boo Thang,Paul Russell,8,2,20
1/13/2024,5,Wherever U R,UMI & V,-,5,1
1/13/2024,6,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,9,4,19
1/13/2024,7,White Horse,Chris Stapleton,12,5,23
1/13/2024,8,Save Me,Jelly Roll With Lainey Wilson,11,6,34
1/13/2024,9,Need A Favor,Jelly Roll,22,2,43
1/13/2024,10,Water,Tyla,25,10,10
1/13/2024,11,Truck Bed,HARDY,-,11,11
1/13/2024,12,Thinkin' Bout Me,Morgan Wallen,-,4,39
1/13/2024,13,Last Night,Morgan Wallen,-,1,40
1/13/2024,14,What Was I Made For?,Billie Eilish,23,8,16
1/13/2024,15,Cruel Summer,Taylor Swift,13,1,27
1/13/2024,16,Paint The Town Red,Doja Cat,24,1,20
1/13/2024,17,Murder On The Dancefloor,Sophie Ellis-Bextor,-,17,1
1/13/2024,18,Where The Wild Things Are,Luke Combs,-,18,2
1/13/2024,19,FTCU,Nicki Minaj,-,10,2
1/13/2024,20,Houdini,Dua Lipa,-,3,5
