rank,artist,track,label,sp_peak,sp_last_week,sp_woc,streams,date
1,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,1,1,52,20369116,12/28/2023
2,Bobby Helms,Jingle Bell Rock,Universal Digital Enterprises,2,2,52,16631455,12/28/2023
3,Mariah Carey,All I Want for Christmas Is You,Columbia,1,3,60,15547474,12/28/2023
4,Wham!,Last Christmas - Single Version,Sony Music CG,4,4,50,13832280,12/28/2023
5,Andy Williams,It's the Most Wonderful Time of the Year,Columbia/Legacy,4,5,48,12941880,12/28/2023
6,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Capitol Records,6,7,36,11840721,12/28/2023
7,Burl Ives,A Holly Jolly Christmas,Geffen,5,8,43,11123005,12/28/2023
8,Ariana Grande,Santa Tell Me,Universal Records,5,9,47,10593763,12/28/2023
9,José Feliciano,Feliz Navidad,RCA Records Label,8,13,38,10379114,12/28/2023
10,The Ronettes,Sleigh Ride,Legacy Recordings,10,12,34,10302554,12/28/2023
11,Michael Bublé,It's Beginning to Look a Lot like Christmas,Reprise,7,10,48,9760690,12/28/2023
12,Kelly Clarkson,Underneath the Tree,RCA Records Label,8,11,36,9670483,12/28/2023
13,Nat King Cole,The Christmas Song (Merry Christmas To You),Capitol Records,11,14,41,9602638,12/28/2023
14,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas - 1947 Version,Geffen,5,17,44,9485727,12/28/2023
15,Jack Harlow,Lovin On Me,Generation Now/Atlantic,1,6,7,9222711,12/28/2023
16,"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),RCA Records Label,16,21,38,8639402,12/28/2023
17,Elvis Presley,Blue Christmas,RCA Victor,17,27,37,8256432,12/28/2023
18,Frank Sinatra,Jingle Bells - Remastered 1999,Capitol Records,18,23,17,7914445,12/28/2023
19,The Beach Boys,Little Saint Nick - 1991 Remix,Capitol Records,19,26,26,7886177,12/28/2023
20,"Eartha Kitt, Henri René and His Orchestra",Santa Baby (with Henri René & His Orchestra),RCA Bluebird,20,24,34,7790283,12/28/2023
21,Darlene Love,Christmas (Baby Please Come Home),Legacy Recordings,19,29,26,7714208,12/28/2023
22,Chuck Berry,Run Rudolph Run,Geffen*,22,28,35,7643280,12/28/2023
23,Michael Bublé,Holly Jolly Christmas,Reprise,16,16,37,7555461,12/28/2023
24,Noah Kahan,Stick Season,Mercury Records/Republic Records,5,18,61,7258031,12/28/2023
25,Nat King Cole,Deck The Hall,CAPITOL CATALOG MKT (C92),23,33,13,7049981,12/28/2023
26,"Frank Sinatra, B. Swanson Quartet",Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Columbia/Legacy,9,32,41,6998241,12/28/2023
27,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,1,20,18,6980971,12/28/2023
28,"Bing Crosby, The Andrews Sisters",Mele Kalikimaka - New mono-to-stereo mix,Good Music,28,38,22,6927105,12/28/2023
29,Eagles,Please Come Home for Christmas - 2013 Remaster,Rhino/Elektra,29,45,16,6713312,12/28/2023
30,Mitski,My Love Mine All Mine,Dead Oceans,3,15,15,6618648,12/28/2023
31,Paul McCartney,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney Catalog,17,43,35,6517687,12/28/2023
32,Vince Guaraldi Trio,Christmas Time Is Here,Fantasy Records,32,48,28,6465821,12/28/2023
33,Tate McRae,greedy,RCA Records Label,4,19,15,6407466,12/28/2023
34,Justin Bieber,Mistletoe,RBMG/Def Jam,15,34,43,6242467,12/28/2023
35,Nicki Minaj,FTCU,Republic Records,22,22,3,6028918,12/28/2023
36,Taylor Swift,Cruel Summer,Taylor Swift,2,30,59,5760538,12/28/2023
37,Burl Ives,Rudolph The Red-Nosed Reindeer,Geffen,37,50,26,5672570,12/28/2023
38,Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",NITRON concepts,38,56,20,5609281,12/28/2023
39,Donny Hathaway,This Christmas,Rhino Atlantic,39,60,20,5545650,12/28/2023
40,Doja Cat,Agora Hills,Kemosabe Records/RCA Records,6,25,14,5532111,12/28/2023
41,"John Lennon, Yoko Ono",Happy Xmas (War Is Over) - Remastered 2010,EMI Catalogue,32,52,34,5509281,12/28/2023
42,"JID, 21 Savage, Baby Tate",Surround Sound (feat. 21 Savage & Baby Tate),Dreamville/Interscope,22,31,12,5312663,12/28/2023
