date,rank,track,artist,str_last_week,str_peak,str_woc
1/6/2024,1,Rockin' Around The Christmas Tree,Brenda Lee,1,1,50
1/6/2024,2,All I Want For Christmas Is You,Mariah Carey,2,1,62
1/6/2024,3,Jingle Bell Rock,Bobby Helms,3,2,43
1/6/2024,4,Last Christmas,Wham!,4,3,41
1/6/2024,5,A Holly Jolly Christmas,Burl Ives,5,3,39
1/6/2024,6,It's The Most Wonderful Time Of The Year,Andy Williams,6,3,40
1/6/2024,7,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,8,5,35
1/6/2024,8,Santa Tell Me,Ariana Grande,7,7,26
1/6/2024,9,Sleigh Ride,The Ronettes,10,8,32
1/6/2024,10,Underneath The Tree,Kelly Clarkson,9,8,26
1/6/2024,11,Feliz Navidad,Jose Feliciano,14,7,30
1/6/2024,12,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",11,5,39
1/6/2024,13,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,15,10,24
1/6/2024,14,Christmas (Baby Please Come Home),Darlene Love,17,8,25
1/6/2024,15,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,16,15,15
1/6/2024,16,Deck The Halls,Nat King Cole,18,13,20
1/6/2024,17,Blue Christmas,Elvis Presley,19,17,16
1/6/2024,18,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,23,18,16
1/6/2024,19,Lovin On Me,Jack Harlow,13,1,7
1/6/2024,20,Run Rudolph Run,Chuck Berry,22,6,26
1/6/2024,21,Little Saint Nick,The Beach Boys,25,21,17
1/6/2024,22,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,12,5,28
1/6/2024,23,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,20,14,22
1/6/2024,24,It's Beginning To Look A Lot Like Christmas,Michael Buble,21,11,22
1/6/2024,25,Wonderful Christmastime,Paul McCartney,31,23,17
1/6/2024,26,Please Come Home For Christmas,Eagles,26,26,13
1/6/2024,27,Santa Claus Is Comin' To Town,Jackson 5,29,27,15
1/6/2024,28,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,24,1,18
1/6/2024,29,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,28,25,16
1/6/2024,30,Mistletoe,Justin Bieber,-,29,7
1/6/2024,31,Have Yourself A Merry Little Christmas,Michael Buble,42,27,16
1/6/2024,32,Happy Holiday / The Holiday Season,Andy Williams,34,14,23
1/6/2024,33,Christmastime Is Here,Vince Guaraldi Trio,39,26,9
1/6/2024,34,Like It's Christmas,Jonas Brothers,30,30,9
1/6/2024,35,This Christmas,Donny Hathaway,35,27,9
